win_prob,spread_mult,implied_spread
0,-17,52.00
0.001,-17,51.00
0.002,-17,46.00
0.003,-17,43.00
0.004,-17,40.50
0.005,-17,39.00
0.006,-17,37.50
0.007,-17,36.50
0.008,-17,35.50
0.009,-17,34.50
0.01,-17,34.00
0.011,-17,33.00
0.012,-17,32.50
0.013,-17,32.00
0.014,-17,31.50
0.015,-17,31.00
0.016,-17,30.50
0.017,-17,30.00
0.018,-17,29.50
0.019,-17,29.00
0.02,-17,28.50
0.021,-17,28.50
0.022,-17,28.00
0.023,-17,27.50
0.024,-17,27.50
0.025,-17,27.00
0.026,-17,27.00
0.027,-17,26.50
0.028,-17,26.00
0.029,-17,26.00
0.03,-17,25.50
0.031,-17,25.50
0.032,-17,25.00
0.033,-17,25.00
0.034,-17,24.50
0.035,-17,24.50
0.036,-17,24.50
0.037,-17,24.00
0.038,-17,24.00
0.039,-17,23.50
0.04,-17,23.50
0.041,-17,23.50
0.042,-17,23.00
0.043,-17,23.00
0.044,-17,22.50
0.045,-17,22.50
0.046,-17,22.50
0.047,-17,22.00
0.048,-17,22.00
0.049,-17,22.00
0.05,-17,21.50
0.051,-17,21.50
0.052,-17,21.50
0.053,-17,21.50
0.054,-17,21.00
0.055,-17,21.00
0.056,-17,21.00
0.057,-17,20.50
0.058,-17,20.50
0.059,-17,20.50
0.06,-17,20.50
0.061,-17,20.00
0.062,-17,20.00
0.063,-17,20.00
0.064,-17,20.00
0.065,-17,19.50
0.066,-17,19.50
0.067,-17,19.50
0.068,-17,19.50
0.069,-17,19.00
0.07,-17,19.00
0.071,-17,19.00
0.072,-17,19.00
0.073,-17,19.00
0.074,-17,18.50
0.075,-17,18.50
0.076,-17,18.50
0.077,-17,18.50
0.078,-17,18.00
0.079,-17,18.00
0.08,-17,18.00
0.081,-17,18.00
0.082,-17,18.00
0.083,-17,17.50
0.084,-17,17.50
0.085,-17,17.50
0.086,-17,17.50
0.087,-17,17.50
0.088,-17,17.50
0.089,-17,17.00
0.09,-17,17.00
0.091,-17,17.00
0.092,-17,17.00
0.093,-17,17.00
0.094,-17,16.50
0.095,-17,16.50
0.096,-17,16.50
0.097,-17,16.50
0.098,-17,16.50
0.099,-17,16.50
0.1,-17,16.00
0.101,-17,16.00
0.102,-17,16.00
0.103,-17,16.00
0.104,-17,16.00
0.105,-17,16.00
0.106,-17,15.50
0.107,-17,15.50
0.108,-17,15.50
0.109,-17,15.50
0.11,-17,15.50
0.111,-17,15.50
0.112,-17,15.50
0.113,-17,15.00
0.114,-17,15.00
0.115,-17,15.00
0.116,-17,15.00
0.117,-17,15.00
0.118,-17,15.00
0.119,-17,15.00
0.12,-17,14.50
0.121,-17,14.50
0.122,-17,14.50
0.123,-17,14.50
0.124,-17,14.50
0.125,-17,14.50
0.126,-17,14.50
0.127,-17,14.00
0.128,-17,14.00
0.129,-17,14.00
0.13,-17,14.00
0.131,-17,14.00
0.132,-17.116,14.00
0.133,-16.581,13.50
0.134,-16.658,13.50
0.135,-16.735,13.50
0.136,-16.812,13.50
0.137,-16.89,13.50
0.138,-16.968,13.50
0.139,-17.046,13.50
0.14,-17.124,13.50
0.141,-17.202,13.50
0.142,-17.281,13.50
0.143,-16.717,13.00
0.144,-16.793,13.00
0.145,-16.87,13.00
0.146,-16.947,13.00
0.147,-17.024,13.00
0.148,-17.101,13.00
0.149,-17.179,13.00
0.15,-17.257,13.00
0.151,-17.335,13.00
0.152,-17.413,13.00
0.153,-16.819,12.50
0.154,-16.895,12.50
0.155,-16.972,12.50
0.156,-17.048,12.50
0.157,-17.125,12.50
0.158,-16.514,12.00
0.159,-16.588,12.00
0.16,-16.663,12.00
0.161,-16.738,12.00
0.162,-16.813,12.00
0.163,-16.889,12.00
0.164,-16.964,12.00
0.165,-17.041,12.00
0.166,-16.404,11.50
0.167,-16.477,11.50
0.168,-16.551,11.50
0.169,-16.625,11.50
0.17,-15.974,11.00
0.171,-16.045,11.00
0.172,-16.117,11.00
0.173,-16.189,11.00
0.174,-16.262,11.00
0.175,-16.335,11.00
0.176,-16.408,11.00
0.177,-16.481,11.00
0.178,-16.555,11.00
0.179,-16.629,11.00
0.18,-16.704,11.00
0.181,-16.016,10.50
0.182,-16.087,10.50
0.183,-16.16,10.50
0.184,-16.232,10.50
0.185,-16.305,10.50
0.186,-16.378,10.50
0.187,-16.451,10.50
0.188,-16.525,10.50
0.189,-16.599,10.50
0.19,-16.674,10.50
0.191,-16.749,10.50
0.192,-16.824,10.50
0.193,-16.9,10.50
0.194,-16.167,10.00
0.195,-16.24,10.00
0.196,-16.313,10.00
0.197,-16.387,10.00
0.198,-16.461,10.00
0.199,-16.535,10.00
0.2,-16.61,10.00
0.201,-16.685,10.00
0.202,-16.76,10.00
0.203,-16.836,10.00
0.204,-16.912,10.00
0.205,-16.14,9.50
0.206,-16.213,9.50
0.207,-16.287,9.50
0.208,-16.361,9.50
0.209,-16.435,9.50
0.21,-16.51,9.50
0.211,-16.585,9.50
0.212,-16.661,9.50
0.213,-16.737,9.50
0.214,-15.929,9.00
0.215,-16.002,9.00
0.216,-16.075,9.00
0.217,-16.149,9.00
0.218,-16.224,9.00
0.219,-16.298,9.00
0.22,-16.373,9.00
0.221,-15.535,8.50
0.222,-15.607,8.50
0.223,-15.679,8.50
0.224,-15.752,8.50
0.225,-15.825,8.50
0.226,-15.899,8.50
0.227,-15.973,8.50
0.228,-16.047,8.50
0.229,-16.122,8.50
0.23,-16.198,8.50
0.231,-16.274,8.50
0.232,-15.388,8.00
0.233,-15.461,8.00
0.234,-15.534,8.00
0.235,-15.607,8.00
0.236,-15.681,8.00
0.237,-15.755,8.00
0.238,-15.83,8.00
0.239,-15.905,8.00
0.24,-15.981,8.00
0.241,-16.057,8.00
0.242,-16.134,8.00
0.243,-16.211,8.00
0.244,-15.271,7.50
0.245,-15.344,7.50
0.246,-15.418,7.50
0.247,-15.493,7.50
0.248,-15.568,7.50
