,season,team,projected_total_dvoa
0,2006,ARI,-0.175
1,2006,ATL,0.084
2,2006,BAL,-0.003
3,2006,BUF,-0.233
4,2006,CAR,0.111
5,2006,CHI,0.112
6,2006,CIN,0.191
7,2006,CLE,-0.088
8,2006,DAL,-0.024
9,2006,DEN,0.183
10,2006,DET,-0.087
11,2006,GB,-0.134
12,2006,HOU,-0.21
13,2006,IND,0.276
14,2006,JAX,0.042
15,2006,KC,0.194
16,2006,LAC,0.212
17,2006,LAR,-0.246
18,2006,MIA,-0.004
19,2006,MIN,-0.194
20,2006,NE,0.068
21,2006,NO,-0.341
22,2006,NYG,0.02
23,2006,NYJ,-0.267
24,2006,OAK,0.018
25,2006,PHI,0.12
26,2006,PIT,0.156
27,2006,SEA,0.398
28,2006,SF,-0.256
29,2006,TB,0
30,2006,TEN,-0.074
31,2006,WAS,0.072
32,2007,ARI,-0.186
33,2007,ATL,0.002
34,2007,BAL,0.12
35,2007,BUF,-0.047
36,2007,CAR,0.105
37,2007,CHI,0.038
38,2007,CIN,-0.035
39,2007,CLE,-0.097
40,2007,DAL,-0.098
41,2007,DEN,0.002
42,2007,DET,-0.095
43,2007,GB,0.057
44,2007,HOU,-0.173
45,2007,IND,0.07
46,2007,JAX,0.247
47,2007,KC,-0.256
48,2007,LAC,0.088
49,2007,LAR,-0.243
50,2007,MIA,-0.143
51,2007,MIN,-0.09
52,2007,NE,0.319
53,2007,NO,-0.045
54,2007,NYG,-0.035
55,2007,NYJ,0.078
56,2007,OAK,-0.122
57,2007,PHI,0.26
58,2007,PIT,0.102
59,2007,SEA,0.001
60,2007,SF,-0.015
61,2007,TB,0.105
62,2007,TEN,-0.066
63,2007,WAS,0.112
64,2008,ARI,-0.022
65,2008,ATL,-0.417
66,2008,BAL,0.031
67,2008,BUF,-0.156
68,2008,CAR,0.029
69,2008,CHI,-0.03
70,2008,CIN,-0.03
71,2008,CLE,-0.142
72,2008,DAL,0.107
73,2008,DEN,0.011
74,2008,DET,-0.227
75,2008,GB,0.315
76,2008,HOU,0.012
77,2008,IND,0.217
78,2008,JAX,0.16
79,2008,KC,-0.176
80,2008,LAC,0.255
81,2008,LAR,-0.284
82,2008,MIA,-0.223
83,2008,MIN,0.225
84,2008,NE,0.4
