,spread_line,result,normalized_modeled_prob
0,-30.0,-75.0,3.0401983984680865e-05
1,-30.0,-74.0,3.853631131903432e-05
2,-30.0,-73.0,4.8587490108799784e-05
3,-30.0,-72.0,6.0934730705761594e-05
4,-30.0,-71.0,7.601362335024357e-05
5,-30.0,-70.0,9.432006264504158e-05
6,-30.0,-69.0,0.0001164133625931309
7,-30.0,-68.0,0.00014291825171570618
8,-30.0,-67.0,0.0001745254085827956
9,-30.0,-66.0,0.00021199017793458548
10,-30.0,-65.0,0.00025612909965076405
11,-30.0,-64.0,0.00030781389036895786
12,-30.0,-63.0,0.0003679625436194492
13,-30.0,-62.0,0.0004375272615807448
14,-30.0,-61.0,0.0005174790019509674
15,-30.0,-60.0,0.000608788518020981
16,-30.0,-59.0,0.0007124038886827399
17,-30.0,-58.0,0.0008292246762489676
18,-30.0,-57.0,0.0009600730104466111
19,-30.0,-56.0,0.001105662071940873
20,-30.0,-55.0,0.0012665626317327546
21,-30.0,-54.0,0.0014431684856744279
22,-30.0,-53.0,0.001635661796773554
23,-30.0,-52.0,0.0018439795115838186
24,-30.0,-51.0,0.002067782140042309
25,-30.0,-50.0,0.002306426270021398
26,-30.0,-49.0,0.002558942218870023
27,-30.0,-48.0,0.002824018200047951
28,-30.0,-47.0,0.0031000049250774694
29,-30.0,-46.0,0.0033916763310613877
30,-30.0,-45.0,0.0042857146844305595
31,-30.0,-44.0,0.013005801042479385
32,-30.0,-43.0,0.027149493993972585
33,-30.0,-42.0,0.02418030935012558
34,-30.0,-41.0,0.03148239990053336
35,-30.0,-40.0,0.016659233404955228
36,-30.0,-39.0,0.019900656987162778
37,-30.0,-38.0,0.039519128016408424
38,-30.0,-37.0,0.019681520663147295
39,-30.0,-36.0,0.008438959397048338
40,-30.0,-35.0,0.0273867714399362
41,-30.0,-34.0,0.05828990771966457
42,-30.0,-33.0,0.029919663230521046
43,-30.0,-32.0,0.041678484126539246
44,-30.0,-31.0,0.08930027456739661
45,-30.0,-30.0,0.039171507198685784
46,-30.0,-29.0,0.031942548608056585
47,-30.0,-28.0,0.06517907434418409
48,-30.0,-27.0,0.02986614867747978
49,-30.0,-26.0,0.008170088906491254
50,-30.0,-25.0,0.019999171493729838
51,-30.0,-24.0,0.04102756158919161
52,-30.0,-23.0,0.02038043982044571
53,-30.0,-22.0,0.016760888443212003
54,-30.0,-21.0,0.03142770678901356
55,-30.0,-20.0,0.015336912665531765
56,-30.0,-19.0,0.005461200189530505
57,-30.0,-18.0,0.011770593072200115
58,-30.0,-17.0,0.022887598367662628
59,-30.0,-16.0,0.011673800460175562
60,-30.0,-15.0,0.009963801423404682
61,-30.0,-14.0,0.018294212960894295
62,-30.0,-13.0,0.008941004517879903
63,-30.0,-12.0,0.003188426663441081
64,-30.0,-11.0,0.00698231153929245
65,-30.0,-10.0,0.013695050796242758
66,-30.0,-9.0,0.006818253339600919
67,-30.0,-8.0,0.005855147907553913
68,-30.0,-7.0,0.011088804167578044
69,-30.0,-6.0,0.005188979845216024
70,-30.0,-5.0,0.0015715963118652075
71,-30.0,-4.0,0.004060663552917828
72,-30.0,-3.0,0.008445430204009462
73,-30.0,-2.0,0.003818389167592412
74,-30.0,-1.0,0.0008260443049438595
75,-30.0,0.0,0.000597024593647605
76,-30.0,1.0,0.0006006453909899449
77,-30.0,2.0,0.002610128294193408
78,-30.0,3.0,0.005792505041265973
79,-30.0,4.0,0.002495973265822114
80,-30.0,5.0,0.0004945252352327775
81,-30.0,6.0,0.0019915122796732416
82,-30.0,7.0,0.004586141108660494
83,-30.0,8.0,0.0020335714528898364
84,-30.0,9.0,0.0017745560868102626
85,-30.0,10.0,0.003893343646638758
86,-30.0,11.0,0.0016181112905396821
87,-30.0,12.0,0.0002437423348039426
88,-30.0,13.0,0.0013203354558275027
89,-30.0,14.0,0.0031701810522720207
90,-30.0,15.0,0.0013780735465434449
91,-30.0,16.0,0.0012156259040435053
92,-30.0,17.0,0.0027398413000924936
93,-30.0,18.0,0.0011211886685292738
94,-30.0,19.0,8.452118375799809e-05
95,-30.0,20.0,8.263549931915004e-06
96,-30.0,21.0,5.675277506095295e-06
97,-30.0,22.0,4.3121780418330606e-06
98,-30.0,23.0,3.2599631260855664e-06
99,-30.0,24.0,2.451409759002184e-06
100,-30.0,25.0,1.8336062201947714e-06
101,-30.0,26.0,1.3642155377670999e-06
102,-30.0,27.0,1.0095934355267135e-06
103,-30.0,28.0,7.431843180685622e-07
