spread,implied_win_prob_intermediate,implied_win_prob
-51.00,0.999,0.999
-50.50,,0.999
-50.00,,0.999
-49.50,,0.999
-49.00,,0.999
-48.50,,0.999
-48.00,,0.999
-47.50,,0.999
-47.00,,0.999
-46.50,,0.999
-46.00,0.998,0.998
-45.50,,0.998
-45.00,,0.998
-44.50,,0.998
-44.00,,0.998
-43.50,,0.998
-43.00,0.997,0.997
-42.50,,0.997
-42.00,,0.997
-41.50,,0.997
-41.00,,0.997
-40.50,0.996,0.996
-40.00,,0.996
-39.50,,0.996
-39.00,0.995,0.995
-38.50,,0.995
-38.00,,0.995
-37.50,0.994,0.994
-37.00,,0.994
-36.50,0.993,0.993
-36.00,,0.993
-35.50,0.992,0.992
-35.00,,0.992
-34.50,0.991,0.991
-34.00,0.99,0.99
-33.50,,0.99
-33.00,0.989,0.989
-32.50,0.988,0.988
-32.00,0.987,0.987
-31.50,0.986,0.986
-31.00,0.985,0.985
-30.50,0.984,0.984
-30.00,0.983,0.983
-29.50,0.982,0.982
-29.00,0.981,0.981
-28.50,0.98,0.98
-28.00,0.978,0.978
-27.50,0.977,0.977
-27.00,0.975,0.975
-26.50,0.973,0.973
-26.00,0.972,0.972
-25.50,0.97,0.97
-25.00,0.968,0.968
-24.50,0.965,0.965
-24.00,0.963,0.963
-23.50,0.96,0.96
-23.00,0.958,0.958
-22.50,0.955,0.955
-22.00,0.952,0.952
-21.50,0.949,0.949
-21.00,0.945,0.945
-20.50,0.942,0.942
-20.00,0.938,0.938
-19.50,0.934,0.934
-19.00,0.929,0.929
-18.50,0.925,0.925
-18.00,0.92,0.92
-17.50,0.915,0.915
-17.00,0.909,0.909
-16.50,0.904,0.904
-16.00,0.898,0.898
-15.50,0.891,0.891
-15.00,0.884,0.884
-14.50,0.879,0.879
-14.00,0.873,0.873
-13.50,0.862,0.862
-13.00,0.849,0.849
-12.50,0.841,0.841
-12.00,0.834,0.834
-11.50,0.826,0.826
-11.00,0.817,0.817
-10.50,0.806,0.806
-10.00,0.795,0.795
-9.50,0.785,0.785
-9.00,0.777,0.777
-8.50,0.768,0.768
-8.00,0.757,0.757
-7.50,0.744,0.744
-7.00,0.728,0.728
-6.50,0.71,0.71
-6.00,0.693,0.693
-5.50,0.68,0.68
-5.00,0.671,0.671
-4.50,0.661,0.661
-4.00,0.647,0.647
-3.50,0.625,0.625
-3.00,0.593,0.593
-2.50,0.561,0.561
-2.00,0.542,0.542
-1.50,0.532,0.532
-1.00,0.522,0.522
-0.50,0.512,0.512
0.00,0.5,0.5
0.50,0.489,0.489
1.00,0.477,0.477
1.50,0.464,0.464
2.00,0.453,0.453
2.50,0.434,0.434
3.00,0.403,0.403
3.50,0.371,0.371
4.00,0.348,0.348
4.50,0.334,0.334
5.00,0.325,0.325
5.50,0.315,0.315
6.00,0.302,0.302
6.50,0.286,0.286
7.00,0.268,0.268
7.50,0.251,0.251
8.00,0.238,0.238
8.50,0.226,0.226
9.00,0.217,0.217
9.50,0.209,0.209
10.00,0.199,0.199
10.50,0.187,0.187
11.00,0.175,0.175
11.50,0.168,0.168
12.00,0.162,0.162
12.50,0.155,0.155
13.00,0.148,0.148
13.50,0.138,0.138
14.00,0.13,0.13
14.50,0.123,0.123
15.00,0.116,0.116
15.50,0.109,0.109
16.00,0.103,0.103
16.50,0.097,0.097
17.00,0.091,0.091
17.50,0.086,0.086
18.00,0.08,0.08
18.50,0.076,0.076
19.00,0.071,0.071
19.50,0.067,0.067
20.00,0.063,0.063
20.50,0.059,0.059
21.00,0.055,0.055
21.50,0.052,0.052
22.00,0.048,0.048
22.50,0.045,0.045
23.00,0.043,0.043
23.50,0.04,0.04
24.00,0.038,0.038
24.50,0.035,0.035
25.00,0.033,0.033
25.50,0.031,0.031
26.00,0.029,0.029
26.50,0.027,0.027
27.00,0.026,0.026
27.50,0.024,0.024
28.00,0.022,0.022
28.50,0.021,0.021
29.00,0.019,0.019
29.50,0.018,0.018
30.00,0.017,0.017
30.50,0.016,0.016
31.00,0.015,0.015
31.50,0.014,0.014
32.00,0.013,0.013
32.50,0.012,0.012
33.00,0.011,0.011
33.50,,0.01
34.00,0.01,0.01
34.50,0.009,0.009
35.00,,0.008
35.50,0.008,0.008
36.00,,0.007
36.50,0.007,0.007
37.00,,0.006
37.50,0.006,0.006
38.00,,0.005
38.50,,0.005
39.00,0.005,0.005
39.50,,0.004
40.00,,0.004
40.50,0.004,0.004
41.00,,0.003
41.50,,0.003
42.00,,0.003
42.50,,0.003
43.00,0.003,0.003
43.50,,0.002
44.00,,0.002
44.50,,0.002
45.00,,0.002
45.50,,0.002
46.00,0.002,0.002
46.50,,0.001
47.00,,0.001
47.50,,0.001
48.00,,0.001
48.50,,0.001
49.00,,0.001
49.50,,0.001
50.00,,0.001
50.50,,0.001
51.00,0.001,0.001
51.50,,0.001
52.00,0.001,0.001
